Team,Abbrev,FBSchedules,CBS Sports,Average,Rank
LAR,LAR,1,1,1,1
Arizona,ARI,2,2,2,2
Cincinnati,CIN,3,3,3,3
TB,TB,4,4,4,4
SF,SF,5,5,5,5
KC,KC,5,5,5,6
NO,NO,7,7,7,7
LV,LV,7,7,7,8
Atlanta,ATL,9,9,9,9
LAC,LAC,10,10,10,10
Seattle,SEA,11,11,11,11
Pittsburgh,PIT,12,12,12,12
Buffalo,BUF,12,12,12,13
Carolina,CAR,12,12,12,14
Denver,DEN,15,15,15,15
NE,NE,16,16,16,16
NYJ,NYJ,17,17,17,17
Cleveland,CLE,17,17,17,18
Houston,HOU,19,19,19,19
Minnesota,MIN,20,20,20,20
Miami,MIA,21,21,21,21
GB,GB,22,22,22,22
Baltimore,BAL,23,23,23,23
Chicago,CHI,24,24,24,24
Tennessee,TEN,24,24,24,25
Jacksonville,JAC,26,26,26,26
Indianapolis,IND,26,26,26,27
Detroit,DET,28,28,28,28
NYG,NYG,29,29,29,29
Philadelphia,PHI,30,30,30,30
Washington,WAS,31,31,31,31
Dallas,DAL,31,31,31,32